country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Fertility rate, total (live births per woman)",Infant mortality rate (per 1000 live births),Health: Total expenditure (% of GDP),Education: Government expenditure (% of GDP),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
Afghanistan,SouthernAsia,652864,35530,54.4,106.3,20270,23.3,23.3,53.3,1458,3568,-2110,5.3,68.6,8.2,3.3,61.6,42,2.1,63,5
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,22.4,26,51.7,1962,4669,-2707,1.7,14.6,5.9,3.5,106.4,130,28.2,84,36
Algeria,NorthernAfrica,2381741,41318,17.3,102,164779,12.2,37.3,50.5,29992,47091,-17099,3,27.7,7.2,...,113,135,0.8,5900,55
American Samoa,Polynesia,199,56,278.2,103.6,-99,-99,-99,-99,-99,-99,-99,2.6,9.6,-99,-99,...,92,87.9,-99,-99
Andorra,SouthernEurope,468,77,163.8,102.3,2812,0.5,10.8,88.6,100,1355,-1255,1.2,-99,8.1,3.3,88.1,13,34,1,119
Angola,MiddleAfrica,1246700,29784,23.9,96.2,117955,6.8,51.2,42,21011,8790,12221,6,65.4,3.3,...,60.8,146,46.5,3902,25
Anguilla,Caribbean,91,15,165.7,97.6,320,2.3,15.7,82,2,154,-153,...,-99,-99,...,177.9,52,61.1,0,136
Antigua and Barbuda,Caribbean,442,102,231.8,92.3,1356,1.9,18.3,79.8,61,491,-429,2.1,9.1,5.5,...,137.2,55,22.3,-99,84
Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,6,27.8,66.2,57733,55610,2124,2.3,13.7,4.8,5.3,143.9,256,10,3167,85
Armenia,WesternAsia,29743,2930,102.9,88.8,10529,19,28.3,52.8,1776,3230,-1455,1.6,13.2,4.5,2.8,115.2,114,11.7,48,46
Aruba,Caribbean,180,105,584.8,90.4,2702,0.5,15.4,84.1,95,1117,-1022,1.8,14.8,-99,6.2,135.7,32,2.3,1,120
Australia,Oceania,7692060,24451,3.2,99.3,1230859,2.5,26.5,71.1,189630,189406,224,1.9,3.9,9.4,5.2,132.8,948,16.2,15282,222
Austria,WesternEurope,83871,8736,106,96.2,376967,1.3,28.3,70.4,145503,149299,-3795,1.4,3.3,11.2,5.5,157.4,118,46.9,505,158
Azerbaijan,WesternAsia,86600,9828,118.9,99.3,53049,6.7,49.9,43.4,9143,8532,611,2.1,31.4,6,2.6,111.3,97,13.5,2459,61
Bahamas,Caribbean,13940,395,39.5,95.9,8854,1.6,12.7,85.7,365,2904,-2539,1.8,9.1,7.7,...,80.3,86,51.4,0,90
Bahrain,WesternAsia,771,1493,1963.9,168.3,31126,0.3,40.7,59,12892,14749,-1856,2.1,6.9,5,2.7,185.3,36,0.8,961,413
Bangladesh,SouthernAsia,147570,164670,1265,101.7,194466,15.5,28.1,56.3,36031,52624,-16593,2.2,33.3,2.8,1.9,83.4,151,11,1438,11
Barbados,Caribbean,431,286,664.5,91.9,4385,1.7,12.1,86.2,517,1621,-1104,1.8,9.6,7.5,6.6,116.5,56,14.7,2,59
Belarus,EasternEurope,207600,9468,46.7,87,54609,7.5,38.9,53.6,23414,27464,-4050,1.6,3.6,5.7,4.9,123.6,25,42.5,155,122
Belgium,WesternEurope,30528,11429,377.5,97.3,455107,0.7,22.2,77.1,398033,372713,25321,1.8,3.5,10.6,6.6,115.7,37,22.6,520,196
Belize,CentralAmerica,22966,375,16.4,99.2,1721,14.6,18.5,66.9,246,952,-706,2.6,14.3,5.8,6.4,48.9,117,60.1,9,36
Benin,WesternAfrica,114763,11176,99.1,99.5,8476,23.2,24.9,51.9,410,2630,-2220,5.2,67.7,4.6,4.4,85.6,88,38.7,96,17
Bermuda,NorthernAmerica,53,61,1227,91.4,5853,0.7,5.3,94,8,971,-963,1.5,-99,-99,1.7,58,72,20,1,136
Bhutan,SouthernAsia,38394,808,21.2,113.1,2074,17.2,43.9,38.8,616,1688,-1072,2.2,30.5,3.6,7.4,87.1,71,72,75,82
Bolivia (Plurinational State of),SouthAmerica,1098581,11052,10.2,100.2,32998,12.6,31,56.5,6969,8374,-1405,3,42.9,6.3,7.3,92.2,231,50.8,962,32
"Bonaire, Sint Eustatius and Saba",Caribbean,-99,25,77.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,56,-99,0,208
Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,96.4,16251,7.3,26.5,66.2,5327,9130,-3803,1.3,7.6,9.6,-99,90.2,91,42.7,252,85
Botswana,SouthernAfrica,582000,2292,4,97.7,14391,2.4,33.4,64.2,7321,6103,1218,2.9,35.2,5.4,...,169,28,19.3,47,44
Brazil,SouthAmerica,8515767,209288,25,96.6,1772591,5.2,22.7,72,185235,137552,47683,1.8,15.8,8.3,6,126.6,990,59.2,10948,61
British Virgin Islands,Caribbean,151,31,208,97.1,908,1,11.1,87.8,~0,444,-444,...,-99,-99,6.6,145.8,67,24.1,0,85
Brunei Darussalam,South-easternAsia,5765,429,81.3,106,12930,1.1,60.2,38.7,4875,2679,2197,1.9,6.5,2.6,4.4,108.1,193,72.1,679,357
Bulgaria,EasternEurope,111002,7085,65.3,94.6,48953,5.1,27.6,67.2,26088,28875,-2787,1.5,8.3,8.4,4.1,129.3,104,35.1,474,103
Burkina Faso,WesternAfrica,272967,19193,70.2,99.5,11065,34.5,21.8,43.7,2019,3699,-1680,5.6,64.8,5,4.1,80.6,31,19.8,123,9
Burundi,EasternAfrica,27830,10864,423.1,96.9,2735,36.3,13.9,49.8,123,625,-502,6,77.8,7.5,5.4,46.2,61,10.6,56,6
Cabo Verde,WesternAfrica,4033,546,135.6,99.3,1603,9.5,19.8,70.7,29,485,-455,2.5,22.5,4.8,5,127.2,65,22.1,2,17
Cambodia,South-easternAsia,181035,16005,90.7,95.3,18050,28.2,29.4,42.3,13204,15313,-2109,2.7,29.9,5.7,1.9,133,255,54.3,178,17
Cameroon,MiddleAfrica,475650,24054,50.9,100.2,28416,22.7,28.3,49.1,2130,4899,-2768,5,67.5,4.1,3,71.8,775,40.3,408,14
Canada,NorthernAmerica,9984670,36624,4,98.5,1552808,1.8,28.6,69.6,388911,402954,-14043,1.6,4.7,10.4,5.3,81.9,122,38.2,19276,324
Cayman Islands,Caribbean,264,62,256.5,100.4,3726,0.3,7.5,92.2,18,991,-972,...,-99,-99,-99,155.5,74,52.9,-99,130
Central African Republic,MiddleAfrica,622984,4659,7.5,97.3,1633,34.9,24.8,40.4,213,147,66,5.1,93.5,4.2,1.2,20.4,60,35.6,19,5
Chad,MiddleAfrica,1284000,14900,11.8,100.2,10009,25.4,39,35.6,1990,1371,619,6.3,91.2,3.6,2.8,40.2,43,4,288,6
Channel Islands,NorthernEurope,180,165,870.1,98.4,-99,-99,-99,-99,-99,-99,-99,1.5,7.9,-99,-99,-99,-99,4.2,-99,-99
Chile,SouthAmerica,756102,18055,24.3,98.2,240796,3.9,32.8,63.3,59884,58804,1080,1.8,7.4,7.8,4.9,129.5,197,23.4,540,85
"China, Hong Kong SAR",EasternAsia,1106,7365,7014.2,85.1,309236,0.1,7.2,92.7,516588,547124,-30536,1.2,1.6,-99,3.3,228.8,64,-99,-99,83
"China, Macao SAR",EasternAsia,30,623,20821.6,92.3,46178,-99,6.6,93.4,1257,8924,-7668,1.2,3,-99,2,324.4,11,-99,2,62
China,EasternAsia,9600000,1409517,150.1,106.3,11158457,9.2,41.1,49.7,2118981,1588696,530285,1.6,11.6,5.5,-99,93.2,1080,22,101394,87
Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,6.8,34,59.2,31045,44831,-13786,1.9,17.9,7.2,4.5,115.7,835,52.8,5380,31
Comoros,EasternAfrica,2235,814,437.4,101.8,1079,30.7,4,65.3,20,193,-173,4.6,58.1,6.7,4.3,54.8,114,20.1,3,6
Congo,MiddleAfrica,342000,5261,15.4,100.1,8493,4.7,70,25.3,2540,9793,-7253,4.9,46.5,5.2,...,111.7,134,65.4,648,24
Cook Islands,Polynesia,236,17,72.4,97.4,294,8.1,9,82.9,14,98,-84,2.6,3.6,3.4,3.9,-99,75,62.9,-99,48
Costa Rica,CentralAmerica,51100,4906,96.1,100.1,52958,5.1,21.5,73.4,9908,15322,-5414,1.9,9.3,9.3,7.2,150.7,340,53.4,110,44
Croatia,SouthernEurope,56594,4189,74.9,93.1,48676,4.1,26.6,69.3,13648,21830,-8182,1.5,3.9,7.8,4.6,103.8,176,34.3,182,79
Cuba,Caribbean,109884,11485,107.9,100.1,87206,5,20.5,74.5,18000,4911,13089,1.7,5.5,11.1,...,29.6,339,30.2,212,47
Cyprus,WesternAsia,9251,1180,127.7,100.2,19561,2.3,10.6,87.2,1920,6604,-4684,1.4,4.2,7.4,6.1,95.4,72,18.7,5,72
Czechia,EasternEurope,78868,10618,137.5,96.7,185156,2.5,37.8,59.7,161248,140316,20932,1.5,2.5,7.4,4.1,129.2,53,34.5,1221,164
Democratic People's Republic of Korea,EasternAsia,120538,25491,211.7,95.7,16283,21.6,46.2,32.2,1010,2757,-1748,2,18.5,-99,-99,12.9,78,42.8,871,20
Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,99.6,37569,19.9,44.2,35.9,5103,5906,-803,6.4,73.2,4.3,2.2,53,349,67.4,1179,16
Denmark,NorthernEurope,42921,5734,135.1,99,301308,1.2,22.9,75.8,94355,85133,9222,1.7,3.5,10.8,8.6,128.3,47,14.4,666,119
Djibouti,EasternAfrica,23200,957,41.3,100.7,1737,3.3,21.4,75.3,134,987,-852,3.1,55.3,10.6,...,34.7,98,0.2,3,13
Dominica,Caribbean,750,74,98.6,103,512,15.4,13.2,71.5,23,214,-191,...,-99,5.5,-99,106.3,66,58.1,0,29
Dominican Republic,Caribbean,48671,10767,222.8,99.2,67103,6.6,28,65.4,3747,22725,-18978,2.5,25.1,4.4,...,82.6,184,40.4,28,28
Ecuador,SouthAmerica,257217,16625,66.9,99.9,100177,10.1,34.1,55.8,16798,16189,609,2.6,21.1,9.2,5,79.4,2358,50.8,1247,42
Egypt,NorthernAfrica,1002000,97553,98,102.3,315917,11.2,36.3,52.5,22507,58053,-35545,3.4,18.9,5.6,...,111,156,0.1,3509,36
El Salvador,CentralAmerica,21041,6378,307.8,88.5,25850,10.8,25.8,63.3,5335,9855,-4519,2.2,17,6.8,3.5,145.3,86,13,86,28
Equatorial Guinea,MiddleAfrica,28052,1268,45.2,124,13812,1.2,73.1,25.7,7443,5456,1987,5,70,3.8,-99,66.7,177,56.3,841,87
Eritrea,EasternAfrica,117600,5069,50.2,100.4,4783,17.2,23.5,59.3,16,3325,-3310,4.4,45,3.3,...,7,122,15,27,7
Estonia,NorthernEurope,45227,1310,30.9,88.2,22460,3.4,27.4,69.2,13952,15759,-1807,1.6,3.2,6.4,5.5,148.7,23,52.7,242,193
Ethiopia,EasternAfrica,1104300,104957,105,99.7,59917,40.5,16,43.5,1724,19121,-17397,4.6,45.8,4.9,4.5,42.8,148,12.5,1308,15
Falkland Islands (Malvinas),SouthAmerica,12173,3,0.2,110.5,-99,-99,-99,-99,4,17,-13,-99,-99,-99,-99,163.5,23,0,0,257
Faroe Islands,NorthernEurope,1393,49,35.3,107.2,-99,-99,-99,-99,1192,976,216,2.4,-99,-99,-99,127.3,21,0.1,1,182
Fiji,Melanesia,18272,906,49.6,103.1,4391,11.3,18.1,70.7,926,2316,-1391,2.6,16,4.5,3.9,108.2,291,55.4,8,26
Finland,NorthernEurope,338440,5523,18.2,97.2,231960,2.5,26.8,70.6,57326,60502,-3176,1.8,2.3,9.7,7.2,135.5,36,73.1,757,257
France,WesternEurope,551500,64980,118.7,96.7,2418946,1.7,19.5,78.8,488885,560555,-71670,2,3.4,11.5,5.5,102.6,278,30.8,5694,158
French Guiana,SouthAmerica,83534,283,3.4,100,-99,-99,-99,-99,-99,-99,-99,3.5,9.3,-99,-99,-99,73,98.9,3,50
French Polynesia,Polynesia,4000,283,77.3,103.7,5135,2.8,11.9,85.2,173,1491,-1319,2.1,6.9,-99,-99,94.9,175,42.3,1,43
Gabon,MiddleAfrica,267668,2025,7.9,105.6,13735,3.8,54.5,41.7,2851,2930,-79,4,40.8,3.4,2.7,168.9,270,88.5,559,64
Gambia,WesternAfrica,11295,2101,207.6,98,942,21.1,14.9,64,32,471,-439,5.6,49.8,7.3,2.8,131.3,67,48.1,7,7
Georgia,WesternAsia,69700,3912,56.3,91.4,13965,9,24.1,66.9,2114,7236,-5122,2,11.2,7.4,2,129,120,40.6,61,47
Germany,WesternEurope,357376,82114,235.6,97,3363600,0.6,30.5,68.9,1340752,1060672,280080,1.4,3.4,11.3,5,116.7,116,32.7,5004,158
Ghana,WesternAfrica,238537,28834,126.7,99.3,37156,19,26.9,54.1,7221,11939,-4718,4.2,46.5,3.6,6.2,129.7,238,40.9,410,14
Gibraltar,SouthernEurope,6,35,3457.1,101.8,-99,-99,-99,-99,234,533,-299,-99,-99,-99,-99,129.5,31,0,-99,259
Greece,SouthernEurope,131957,11160,86.6,96.9,194860,4.1,15.7,80.2,27811,47595,-19784,1.3,3.3,8.1,...,114,374,31.2,368,89
Greenland,NorthernAmerica,2166086,56,0.1,112.1,2078,10,15.9,74.1,553,623,-71,2,-99,-99,-99,106.5,23,~0.0,2,154
Grenada,Caribbean,345,108,317.1,100.9,954,8.3,13.9,77.8,30,350,-320,2.2,9.6,6.1,...,112.2,54,50,0,35
Guadeloupe,Caribbean,1705,450,266,86.4,-99,-99,-99,-99,-99,-99,-99,2,5.8,-99,-99,-99,73,43,5,80
Guam,Micronesia,549,164,304.1,102.6,-99,-99,-99,-99,-99,-99,-99,2.4,9.6,-99,-99,...,99,46.3,-99,-99
Guatemala,CentralAmerica,108889,16914,157.8,96.9,63794,10.8,27.2,62,10572,16987,-6415,3.2,26.9,6.2,3,111.5,290,33.4,327,32
Guinea-Bissau,WesternAfrica,36125,1861,66.2,96.9,978,45,14.5,40.5,885,212,673,4.9,80.4,5.6,2.2,69.3,77,70.5,25,17
Guinea,WesternAfrica,245857,12717,51.8,100.6,8875,19.8,32.8,47.4,1753,2082,-329,5.1,65.7,5.6,3.2,87.2,185,26,113,12
Guyana,SouthAmerica,214969,778,4,101.9,3282,17.6,31.7,50.6,1453,1625,-172,2.6,33.2,5.2,3.2,67.2,94,84,7,46
Haiti,Caribbean,27750,10981,398.4,97.8,8501,16.7,38.2,45.1,984,3316,-2332,3.1,46.9,7.6,-99,69.9,205,3.5,136,16
Holy See,SouthernEurope,~0,1,1800,219.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99
Honduras,CentralAmerica,112492,9265,82.8,99.4,20365,13,25.1,61.9,3657,8448,-4791,2.6,27.8,8.7,5.9,95.5,301,42.1,105,28
Hungary,EasternEurope,93024,9722,107.4,90.7,121715,4.1,31.9,64,103071,92044,11027,1.3,4.9,7.4,4.7,118.9,66,22.8,423,97
Iceland,NorthernEurope,103000,335,3.3,100.7,16780,6.4,24,69.7,4450,5703,-1254,2,1.6,8.9,7.8,114,27,0.5,284,952
India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,17,29.7,53.2,260327,356705,-96378,2.4,41.3,4.7,3.8,78.8,1052,23.7,23103,27
Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,14,41.3,44.7,144490,135653,8837,2.4,25,2.8,3.6,132.4,1281,50.6,19481,35
Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,101.2,398563,8.6,39.1,52.3,45627,35333,10294,1.7,14.8,7.5,2.9,93.4,134,6.6,13291,127
Iraq,WesternAsia,435052,38275,88.1,102.5,164234,4.6,58,37.4,27341,45831,-18490,4.6,32.1,5.5,-99,93.8,72,1.9,6744,58
Ireland,NorthernEurope,69797,4762,69.1,98.4,283716,1,41.7,57.3,129315,76997,52318,2,3.4,7.8,5.3,103.7,50,10.9,84,114
Isle of Man,NorthernEurope,572,84,147.9,98.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,6.1,0,3
Israel,WesternAsia,22072,8322,384.5,98.7,299413,1.3,21.2,77.5,60571,65803,-5232,3,3.4,7.8,5.8,133.5,174,7.5,313,119
Italy,SouthernEurope,302073,59360,201.8,95.1,1821580,2.2,23.5,74.2,461529,404578,56951,1.4,3,9.2,4.1,151.3,359,31.4,1539,103
Jamaica,Caribbean,10990,2890,266.9,99,14262,7.1,22.3,70.5,1202,4767,-3565,2.1,15,5.4,5.5,111.5,311,31,8,37
Japan,EasternAsia,377930,127484,349.7,95.4,4383076,1.2,26.4,72.4,644932,606924,38008,1.4,2.2,10.2,3.6,125,404,68.5,1114,146
Jordan,WesternAsia,89318,9702,109.3,102.6,37517,4,27.7,68.4,7509,19207,-11698,3.6,17.1,7.5,-99,179.4,113,1.1,7,47
Kazakhstan,CentralAsia,2724902,18204,6.7,93.9,181754,5,32.5,62.5,36775,25175,11601,2.7,14.1,4.4,2.8,187.2,82,1.2,7091,193
Kenya,EasternAfrica,591958,49700,87.3,98.8,63399,32,19,49,5688,14109,-8420,4.1,39.4,5.7,5.3,80.7,480,7.7,750,20
Kiribati,Micronesia,726,116,143.7,97.3,162,24.1,13.6,62.2,3,116,-113,3.8,46.9,10.2,...,38.8,104,15,0,8
Kuwait,WesternAsia,17818,4136,232.1,134.9,114054,0.6,48.7,50.7,46238,30825,15413,2,8.4,3,...,231.8,49,0.4,6941,380
Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,6572,15.4,25.9,58.7,1423,3844,-2421,3.1,19.6,6.5,5.5,132.8,44,3.4,80,27
